0.4971	5.16937154139468e-11
0.563	1.0866397989630373e-10
0.569	1.1518501848194777e-10
0.6006	1.5407858220073044e-10
0.604	1.5867791787658606e-10
0.6103	1.6758189899583168e-10
0.621	1.8313648024206635e-10
0.635	2.0475571146021e-10
0.662	2.5114284297722435e-10
0.723	3.77578264057032e-10
0.724	3.7983845673036377e-10
0.756	4.5927988657621075e-10
0.757	4.6200320288643635e-10
0.765	4.835664284180818e-10
0.795	5.684732329370223e-10
0.801	5.867344108941207e-10
0.873	8.295196923731409e-10
0.996	1.361270059721624e-09
1.004	1.4010775818455415e-09
1.038	1.5770896565335302e-09
1.05	1.642351604956637e-09
1.167	2.348798854270601e-09
1.205	2.6049294125600583e-09
1.246	2.893662731230231e-09
1.274	3.0982810977457485e-09
1.365	3.798431909866524e-09
1.494	4.872128590055329e-09
1.562	5.470063948198745e-09
1.596	5.772390443273752e-09
1.766	7.366026176031027e-09
1.797	7.66913406179914e-09
1.988	9.598977124643341e-09
2.112	1.0900626316849212e-08
2.185	1.1669805206695544e-08
