0.4971	5.174309576616852e-11
0.563	1.0869376836340451e-10
0.569	1.1518385989196915e-10
0.6006	1.540976672879755e-10
0.604	1.5867598211074005e-10
0.6103	1.6753808920282934e-10
0.621	1.831131838071377e-10
0.635	2.0473934885206892e-10
0.662	2.5104797524154615e-10
0.723	3.7750020118093867e-10
0.724	3.7975062964431515e-10
0.756	4.5914927782031235e-10
0.757	4.618605732436829e-10
0.765	4.833410258439207e-10
0.795	5.684191401004083e-10
0.801	5.866588721525753e-10
0.873	8.295794307134301e-10
0.996	1.3617955951649478e-09
1.004	1.4016384770680447e-09
1.038	1.5778155829728286e-09
1.05	1.643231564254839e-09
1.167	2.3504256620318553e-09
1.205	2.6069664079129494e-09
1.246	2.896221700965114e-09
1.274	3.1009974721032387e-09
1.365	3.80214173934061e-09
1.494	4.8769767242342616e-09
1.562	5.475461259707636e-09
1.596	5.778382922148429e-09
1.766	7.373810844935981e-09
1.797	7.677036273271377e-09
1.988	9.609570042443646e-09
2.112	1.091198562132439e-08
2.185	1.1680378550184005e-08
