0.4971	4.429393507560464e-11
0.563	9.337202395261058e-11
0.569	9.902557272550483e-11
0.6006	1.3276074117576797e-10
0.604	1.3676818382369658e-10
0.6103	1.44448119327056e-10
0.621	1.5800706755379558e-10
0.635	1.7689397352359784e-10
0.662	2.1738915217143004e-10
0.723	3.284924847669096e-10
0.724	3.304968536113011e-10
0.756	4.008020471128542e-10
0.757	4.0293863269028133e-10
0.765	4.22058381850339e-10
0.795	4.975112487416929e-10
0.801	5.136865895658267e-10
0.873	7.302482569301337e-10
0.996	1.2084645841962179e-09
1.004	1.2444746657778006e-09
1.038	1.4036797346034207e-09
1.05	1.4627453330468257e-09
1.167	2.1049876915738344e-09
1.205	2.3388424294712033e-09
1.246	2.6025705588815245e-09
1.274	2.7894783715559658e-09
1.365	3.429939057989437e-09
1.494	4.413026064718357e-09
1.562	4.9600733333101e-09
1.596	5.236988341043187e-09
1.766	6.694689582656041e-09
1.797	6.972062854856269e-09
1.988	8.736291530455708e-09
2.112	9.924413654801547e-09
2.185	1.0624305234087487e-08
